"","X","CNTY_CODE","date","total_case"
"1",1,420100,"2020-01-15",41
"2",19,420100,"2020-01-16",45
"3",37,420100,"2020-01-17",62
"4",55,420100,"2020-01-18",121
"5",73,420100,"2020-01-19",198
"6",91,420100,"2020-01-21",363
"7",109,420100,"2020-01-22",444
"8",127,420100,"2020-01-23",495
"9",145,420100,"2020-01-24",572
"10",163,420100,"2020-01-25",618
"11",181,420100,"2020-01-26",698
"12",199,420100,"2020-01-27",1590
"13",217,420100,"2020-01-28",1905
"14",235,420100,"2020-01-29",2261
"15",253,420100,"2020-01-30",2639
"16",271,420100,"2020-01-31",3215
"17",289,420100,"2020-02-01",4109
"18",307,420100,"2020-02-02",5142
"19",325,420100,"2020-02-03",6384
"20",343,420100,"2020-02-04",8351
"21",361,420100,"2020-02-05",10117
"22",379,420100,"2020-02-06",11618
"23",397,420100,"2020-02-07",13603
"24",415,420100,"2020-02-08",14982
"25",433,420100,"2020-02-09",16902
"26",451,420100,"2020-02-10",18454
"27",469,420100,"2020-02-11",19558
"28",487,420100,"2020-02-12",32994
"29",505,420100,"2020-02-13",35991
"30",523,420100,"2020-02-14",37914
"31",541,420100,"2020-02-15",39462
"32",559,420100,"2020-02-16",41152
"33",577,420100,"2020-02-17",42752
"34",595,420100,"2020-02-18",44412
"35",613,420100,"2020-02-19",45027
"36",631,420100,"2020-02-20",45346
"37",649,420100,"2020-02-21",45660
"38",667,420100,"2020-02-22",46201
"39",685,420100,"2020-02-23",46607
"40",703,420100,"2020-02-24",47071
"41",721,420100,"2020-02-25",47441
"42",739,420100,"2020-02-26",47824
"43",757,420100,"2020-02-27",48137
"44",775,420100,"2020-02-28",48557
"45",793,420100,"2020-02-29",49122
"46",811,420100,"2020-03-01",49315
"47",829,420100,"2020-03-02",49426
"48",847,420100,"2020-03-03",49540
"49",865,420100,"2020-03-04",49671
"50",883,420100,"2020-03-05",49797
