date,country,location,number,export_probability,wuhan_link_check
2020-01-13,Thailand,,1,,1
2020-01-15,Japan,,1,,1
2020-01-17,Thailand,,1,,1
2020-01-20,Korea,,1,,1
2020-01-21,Singapore,,1,,Y
2020-01-21,USA,Washington,1,,1
2020-01-22,HK,,2,,1
2020-01-22,Macau,,2,,1
2020-01-22,Thailand,,2,,1
2020-01-22,Vietnam,Khanh Hoa province,2,,1
2020-01-23,Singapore,,1,,Y
2020-01-24,Taiwan,,2,,Y
2020-01-24,France,,2,,Y
2020-01-24,HK,,1,,1
2020-01-24,Korea,,1,,1
2020-01-24,Thailand,,1,,1
2020-01-24,USA,Chicago,1,,1
2020-01-24,Nepal,,1,,1
2020-01-24,Japan,,1,,1
2020-01-25,Australia,NSW,2,,Y
2020-01-25,Australia,Melbourne,1,,Y
2020-01-25,MalaysiaNO,KL,3,,N
2020-01-25,Japan,,1,,1
2020-01-25,Malaysia,Johor,1,,Y
2020-01-26,USA,California,2,,Y
2020-01-26,Canada,Toronto,1,,Y
2020-01-26,Korea,,1,,Y
2020-01-26,Thailand,,3,,Y
2020-01-26,USA,Arizona,1,,Y
2020-01-27,Taiwan,,1,,Y
2020-01-27,Cambodia,,1,,Y
2020-01-28,Japan,,1,,
2020-01-28,Korea,,1,,
2020-01-28,Singapore,,3,,Y
2020-01-28,France,,1,,
2020-01-28,Australia,,1,,
2020-01-28,Macau,,4,,
2020-01-28,HK,,5,,
2020-01-29,United Arab Emirates,,1,,
2020-01-29,Canada,British Columbia,1,,
2020-01-29,Australia,Victoria,1,,Y
2020-01-29,Australia,Queensland,1,,Y
2020-01-29,Singapore,,3,,Y
2020-01-29,Finland,,1,,Y
2020-01-30,Philippines,,1,,Y
2020-01-30,India,,1,,Y
2020-01-31,United Kingdom,,1,,Y
2020-01-31,Russia,,1,,Y
2020-01-31,Sweden,,1,,Y
2020-01-31,Spain,,1,,Y
2020-02-04,Belgium,,1,,Y
2020-02-05,Japan,,1,,Y
