date,number
2019-12-30,0
2019-12-31,1
2020-01-01,0
2020-01-02,0
2020-01-03,2
2020-01-04,0
2020-01-05,1
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,1
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,2
2020-01-15,1
2020-01-16,3
2020-01-17,2
2020-01-18,2
2020-01-19,2
2020-01-20,3
2020-01-21,6
2020-01-22,3
2020-01-23,11
2020-01-24,8
2020-01-25,8
2020-01-26,8
2020-01-27,2
2020-01-28,5
2020-01-29,3
2020-01-30,4
2020-01-31,1
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,2
2020-02-05,1
