param1,param2,lik
0.002,0.5,-420.1208156449258
0.002,0.525,-412.3593939031909
0.002,0.55,-406.3655360210525
0.002,0.575,-392.7678286016414
0.002,0.6,-400.04410646885015
0.002,0.625,-405.8732884092208
0.002,0.65,-401.70316030462175
0.002,0.675,-377.6897985452992
0.002,0.7,-385.04248130355734
0.002,0.725,-386.2488571322005
0.002,0.75,-371.9335030058883
0.002,0.775,-368.06765259132516
0.002,0.8,-355.4195134652391
0.002,0.825,-362.6777456735896
0.002,0.8500000000000001,-348.3582168889969
0.002,0.875,-353.0283773446569
0.002,0.9,-354.3746736996807
0.002,0.925,-345.2542628593319
0.002,0.95,-348.4480768067114
0.002,0.9750000000000001,-347.75212071424994
0.002,1,-340.4157761116238
0.004,0.5,-Inf
0.004,0.525,-338.2864859352031
0.004,0.55,-345.16902934037523
0.004,0.575,-337.45856369966833
0.004,0.6,-330.8077481188907
0.004,0.625,-326.849853122131
0.004,0.65,-323.7450027193137
0.004,0.675,-313.82485066548503
0.004,0.7,-312.8148737773112
0.004,0.725,-313.34519217550496
0.004,0.75,-320.6716816893262
0.004,0.775,-314.262079562009
0.004,0.8,-308.88984047715866
0.004,0.825,-310.405882989303
0.004,0.8500000000000001,-306.1172437803867
0.004,0.875,-305.9049238914781
0.004,0.9,-299.45534079511475
0.004,0.925,-305.58264619110054
0.004,0.95,-302.6831097433513
0.004,0.9750000000000001,-302.4255607694995
0.004,1,-299.1137841764572
0.006,0.5,-316.9405100432474
0.006,0.525,-308.87481685908773
0.006,0.55,-310.7963182685623
0.006,0.575,-315.8806895511194
0.006,0.6,-312.5707544161105
0.006,0.625,-305.2652175421341
0.006,0.65,-310.5787653043141
0.006,0.675,-302.9136932263528
0.006,0.7,-304.1049628826716
0.006,0.725,-298.6823181006216
0.006,0.75,-297.81971719145696
0.006,0.775,-297.28014666402305
0.006,0.8,-Inf
0.006,0.825,-293.1388217947019
0.006,0.8500000000000001,-292.2354215711319
0.006,0.875,-294.1129350969246
0.006,0.9,-291.1875448808864
0.006,0.925,-291.1226614844435
0.006,0.95,-290.3321036033592
0.006,0.9750000000000001,-289.896143506842
0.006,1,-287.2970504414232
0.008,0.5,-307.1165828930793
0.008,0.525,-301.61201291556745
0.008,0.55,-Inf
0.008,0.575,-303.80454689971384
0.008,0.6,-301.01630565490353
0.008,0.625,-299.6283834760524
0.008,0.65,-296.48453200664966
0.008,0.675,-294.4114830338746
0.008,0.7,-293.5314612125434
0.008,0.725,-294.5339930953907
0.008,0.75,-290.5388108226401
0.008,0.775,-289.0289852731693
0.008,0.8,-288.88166672859546
0.008,0.825,-288.432276300786
0.008,0.8500000000000001,-286.77352125450915
0.008,0.875,-287.3643661890065
0.008,0.9,-286.06332995409343
0.008,0.925,-285.6218771436072
0.008,0.95,-285.0393513890961
0.008,0.9750000000000001,-283.6650951177255
0.008,1,-284.225189203396
0.01,0.5,-299.24234817077297
0.01,0.525,-302.9735820202121
0.01,0.55,-295.46413209957325
0.01,0.575,-295.8717466033875
0.01,0.6,-289.1755755974743
0.01,0.625,-296.88159440060156
0.01,0.65,-290.60496413447373
0.01,0.675,-289.34998386490577
0.01,0.7,-288.57666440374993
0.01,0.725,-287.71488032156515
0.01,0.75,-287.2634500241529
0.01,0.775,-287.6539280381719
0.01,0.8,-285.3064881344451
0.01,0.825,-286.18550790957653
0.01,0.8500000000000001,-284.5613964081573
0.01,0.875,-284.29209040797997
0.01,0.9,-283.6713546473051
0.01,0.925,-283.1316640721218
0.01,0.95,-282.5451294534924
0.01,0.9750000000000001,-283.1953653769421
0.01,1,-280.89543176674715
0.012,0.5,-296.21338482410573
0.012,0.525,-Inf
0.012,0.55,-291.8961910989175
0.012,0.575,-293.55312069062586
0.012,0.6,-293.0437931179827
0.012,0.625,-290.39470474123954
0.012,0.65,-287.0340740200712
0.012,0.675,-287.66523618657374
0.012,0.7,-287.070397266191
