param1,param2,param3,lik
0.001,0.5,0.1,-234.56687853585794
0.001,0.5,0.15000000000000002,-181.11387503325608
0.001,0.5,0.2,-176.811102770873
0.001,0.5,0.25,-176.57562819966302
0.001,0.5,0.30000000000000004,-174.12936182372505
0.001,0.5,0.35,-173.24160804227853
0.001,0.5,0.4,-173.34326562063438
0.001,0.5,0.45000000000000007,-173.54032719114946
0.001,0.5,0.5,-170.77140883951665
0.001,0.5,0.55,-171.73507207019173
0.001,0.5,0.6,-171.04477904276484
0.001,0.55,0.1,-210.30673012423102
0.001,0.55,0.15000000000000002,-182.41965475651233
0.001,0.55,0.2,-176.64703160524363
0.001,0.55,0.25,-174.91453908544008
0.001,0.55,0.30000000000000004,-171.99419947777045
0.001,0.55,0.35,-172.78782450686145
0.001,0.55,0.4,-173.78220009204853
0.001,0.55,0.45000000000000007,-171.4422550278054
0.001,0.55,0.5,-171.6677799874695
0.001,0.55,0.55,-170.828663704424
0.001,0.55,0.6,-170.56445361826871
0.001,0.6,0.1,-194.87321633627658
0.001,0.6,0.15000000000000002,-187.99890440338902
0.001,0.6,0.2,-180.7101511789245
0.001,0.6,0.25,-173.95703686797248
0.001,0.6,0.30000000000000004,-172.62001437996304
0.001,0.6,0.35,-172.21689046814998
0.001,0.6,0.4,-171.79863084457105
0.001,0.6,0.45000000000000007,-170.81738778813985
0.001,0.6,0.5,-171.41631591725542
0.001,0.6,0.55,-168.9797450433345
0.001,0.6,0.6,-170.71125005519872
0.001,0.65,0.1,-200.74644742138418
0.001,0.65,0.15000000000000002,-178.38929654654152
0.001,0.65,0.2,-177.44797079320745
0.001,0.65,0.25,-174.77656629702778
0.001,0.65,0.30000000000000004,-173.65062964189445
0.001,0.65,0.35,-172.43997552403744
0.001,0.65,0.4,-172.73307178504598
0.001,0.65,0.45000000000000007,-170.0891239670728
0.001,0.65,0.5,-170.25434817756462
0.001,0.65,0.55,-169.78114151049687
0.001,0.65,0.6,-172.1483777741721
0.001,0.7,0.1,-196.08749967703386
0.001,0.7,0.15000000000000002,-184.29250101461133
0.001,0.7,0.2,-177.46776340852114
0.001,0.7,0.25,-174.196431826876
0.001,0.7,0.30000000000000004,-173.47163623213658
0.001,0.7,0.35,-171.24191249219473
0.001,0.7,0.4,-171.38050739431287
0.001,0.7,0.45000000000000007,-171.21795228798192
0.001,0.7,0.5,-170.71553729003784
0.001,0.7,0.55,-168.62346667593494
0.001,0.7,0.6,-169.96150169455444
0.001,0.75,0.1,-191.65605561851066
0.001,0.75,0.15000000000000002,-191.83329274094075
0.001,0.75,0.2,-181.95555286307314
0.001,0.75,0.25,-172.7439702463828
0.001,0.75,0.30000000000000004,-172.24205774145173
0.001,0.75,0.35,-171.05868915709175
0.001,0.75,0.4,-171.36408345577178
0.001,0.75,0.45000000000000007,-170.23590372628183
0.001,0.75,0.5,-172.28419798462227
0.001,0.75,0.55,-170.2043513177377
0.001,0.75,0.6,-171.99980400228168
0.001,0.8,0.1,-192.33576086945396
0.001,0.8,0.15000000000000002,-180.24947886120168
0.001,0.8,0.2,-176.55619417984195
0.001,0.8,0.25,-172.5270094856806
0.001,0.8,0.30000000000000004,-173.71472693767254
0.001,0.8,0.35,-171.14820598388536
0.001,0.8,0.4,-171.55870920876606
0.001,0.8,0.45000000000000007,-170.187818602743
0.001,0.8,0.5,-170.18200314361854
0.001,0.8,0.55,-169.1249105897428
0.001,0.8,0.6,-169.29462152418859
0.001,0.8500000000000001,0.1,-191.28757116593732
0.001,0.8500000000000001,0.15000000000000002,-177.5874319733399
0.001,0.8500000000000001,0.2,-176.95700356846095
0.001,0.8500000000000001,0.25,-173.43412629191215
0.001,0.8500000000000001,0.30000000000000004,-171.894692573726
0.001,0.8500000000000001,0.35,-170.24115471428217
0.001,0.8500000000000001,0.4,-169.85981294677504
0.001,0.8500000000000001,0.45000000000000007,-171.23606969610995
0.001,0.8500000000000001,0.5,-170.2173575555421
0.001,0.8500000000000001,0.55,-170.00106493110633
0.001,0.8500000000000001,0.6,-169.6194973540849
0.001,0.9,0.1,-189.45004981153005
0.001,0.9,0.15000000000000002,-183.40969141287712
0.001,0.9,0.2,-174.5047539574565
0.001,0.9,0.25,-173.80715663208434
0.001,0.9,0.30000000000000004,-171.40957098207866
0.001,0.9,0.35,-171.2709097999251
0.001,0.9,0.4,-169.26191015331892
0.001,0.9,0.45000000000000007,-171.70626010879505
0.001,0.9,0.5,-170.34864303819307
0.001,0.9,0.55,-170.69174733074834
0.001,0.9,0.6,-169.52800426925108
0.001,0.95,0.1,-187.74702053369498
0.001,0.95,0.15000000000000002,-184.62667027463283
0.001,0.95,0.2,-175.91735984899782
0.001,0.95,0.25,-171.6727189221628
0.001,0.95,0.30000000000000004,-171.51189204544448
0.001,0.95,0.35,-170.77722887163543
0.001,0.95,0.4,-169.88227779644558
0.001,0.95,0.45000000000000007,-169.0439437454479
0.001,0.95,0.5,-170.36567154293965
0.001,0.95,0.55,-170.83989834470924
0.001,0.95,0.6,-169.3933726093165
0.001,1,0.1,-315.8105157185353
0.001,1,0.15000000000000002,-178.32834434918664
0.001,1,0.2,-174.02844006684728
0.001,1,0.25,-172.15086408567413
0.001,1,0.30000000000000004,-171.5976967400432
0.001,1,0.35,-172.3694949154356
0.001,1,0.4,-171.19543222205328
0.001,1,0.45000000000000007,-169.92712031035632
0.001,1,0.5,-168.911121532592
0.001,1,0.55,-168.6500594261243
0.001,1,0.6,-169.85478110887385
0.002,0.5,0.1,-193.0357715418147
0.002,0.5,0.15000000000000002,-159.80553034879438
0.002,0.5,0.2,-155.01128738907983
0.002,0.5,0.25,-151.97307007865845
0.002,0.5,0.30000000000000004,-149.3451003007109
0.002,0.5,0.35,-149.9250474594752
0.002,0.5,0.4,-148.7101181053648
0.002,0.5,0.45000000000000007,-147.45225198110927
0.002,0.5,0.5,-147.93300282495807
0.002,0.5,0.55,-149.0185974410905
0.002,0.5,0.6,-147.9241318076384
0.002,0.55,0.1,-180.7842322209974
0.002,0.55,0.15000000000000002,-158.5834642696301
0.002,0.55,0.2,-153.81366922619912
0.002,0.55,0.25,-151.37491509667973
0.002,0.55,0.30000000000000004,-148.82081832126403
0.002,0.55,0.35,-148.7759871951058
0.002,0.55,0.4,-147.5453715409688
0.002,0.55,0.45000000000000007,-149.43900900638232
0.002,0.55,0.5,-145.36515453548702
0.002,0.55,0.55,-146.72004276649056
0.002,0.55,0.6,-147.43899222512687
0.002,0.6,0.1,-163.3169470550485
0.002,0.6,0.15000000000000002,-152.94131299940068
0.002,0.6,0.2,-153.05884506139427
0.002,0.6,0.25,-147.40916849647317
0.002,0.6,0.30000000000000004,-148.8936478274817
0.002,0.6,0.35,-146.17121969827485
0.002,0.6,0.4,-148.16647503720088
0.002,0.6,0.45000000000000007,-146.81575660464824
0.002,0.6,0.5,-146.46508103691065
0.002,0.6,0.55,-147.18455965946418
0.002,0.6,0.6,-148.60554952381347
0.002,0.65,0.1,-175.9086293787483
0.002,0.65,0.15000000000000002,-170.9119601212319
0.002,0.65,0.2,-151.25110022744536
0.002,0.65,0.25,-149.56120403115324
0.002,0.65,0.30000000000000004,-148.56952434983464
0.002,0.65,0.35,-148.29268222585222
0.002,0.65,0.4,-148.0811254419594
0.002,0.65,0.45000000000000007,-146.69795623215924
0.002,0.65,0.5,-146.35337286207283
0.002,0.65,0.55,-147.07045703623135
0.002,0.65,0.6,-146.36125729442358
0.002,0.7,0.1,-153.3613581998609
0.002,0.7,0.15000000000000002,-164.45642159601488
0.002,0.7,0.2,-150.50373629518197
0.002,0.7,0.25,-147.65024879609712
0.002,0.7,0.30000000000000004,-147.23070136998962
0.002,0.7,0.35,-147.01682265989365
0.002,0.7,0.4,-149.8974524984376
0.002,0.7,0.45000000000000007,-147.52771114057362
0.002,0.7,0.5,-146.62359882209455
0.002,0.7,0.55,-147.28772013799806
0.002,0.7,0.6,-146.8191555300251
0.002,0.75,0.1,-165.8719669258673
0.002,0.75,0.15000000000000002,-155.37271107123985
0.002,0.75,0.2,-150.57907449822028
0.002,0.75,0.25,-147.54904816096854
