date,number,number_market
2019-12-01,1,0
2019-12-02,0,0
2019-12-03,0,0
2019-12-04,0,0
2019-12-05,0,0
2019-12-06,0,0
2019-12-07,0,0
2019-12-08,0,0
2019-12-09,0,0
2019-12-10,3,1
2019-12-11,0,0
2019-12-12,0,0
2019-12-13,0,0
2019-12-14,0,0
2019-12-15,2,2
2019-12-16,0,0
2019-12-17,1,1
2019-12-18,1,1
2019-12-19,1,1
2019-12-20,5,5
2019-12-21,4,2
2019-12-22,3,1
2019-12-23,8,5
2019-12-24,1,1
2019-12-25,3,2
2019-12-26,2,1
2019-12-27,2,2
2019-12-28,0,0
2019-12-29,0,0
2019-12-30,0,0
2019-12-31,3,2
2020-01-01,1,0
2020-01-02,0,0
