date,number,linked_to_market
2019-12-08,1,0
2019-12-09,0,0
2019-12-10,1,0
2019-12-11,0,0
2019-12-12,0,0
2019-12-13,1,1
2019-12-14,0,0
2019-12-15,2,0
2019-12-16,1,0
2019-12-17,1,1
2019-12-18,0,0
2019-12-19,2,2
2019-12-20,4,3
2019-12-21,4,3
2019-12-22,3,2
2019-12-23,4,3
2019-12-24,0,0
2019-12-25,4,2
2019-12-26,1,1
2019-12-27,3,2
2019-12-28,2,1
2019-12-29,6,2
2019-12-30,5,2
2019-12-31,2,1
2020-01-01,10,4
2020-01-02,7,1
2020-01-03,13,2
2020-01-04,13,1
2020-01-05,15,1
2020-01-06,19,2
2020-01-07,31,4
2020-01-08,44,1
2020-01-09,32,1
2020-01-10,33,2
2020-01-11,33,0
2020-01-12,30,4
2020-01-13,22,1
2020-01-14,23,0
2020-01-15,23,0
2020-01-16,13,0
2020-01-17,6,0
2020-01-18,6,0
2020-01-19,2,0
2020-01-20,3,0
2020-01-21,2,0
