CNTY_CODE,date,total_case
420100,2020-01-15,41
420100,2020-01-16,45
420100,2020-01-17,62
420100,2020-01-18,121
420100,2020-01-19,198
420100,2020-01-21,363
420100,2020-01-22,444
420100,2020-01-23,495
420100,2020-01-24,572
420100,2020-01-25,618
420100,2020-01-26,698
420100,2020-01-27,1590
420100,2020-01-28,1905
420100,2020-01-29,2261
420100,2020-01-30,2639
420100,2020-01-31,3215
420100,2020-02-01,4109
420100,2020-02-02,5142
420100,2020-02-03,6384
420100,2020-02-04,8384
420100,2020-02-05,10117
420100,2020-02-06,11618
420100,2020-02-07,13606
420100,2020-02-08,14982
420100,2020-02-09,16902
420100,2020-02-10,18454
420100,2020-02-11,19558
