date,cases
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,1
2019-11-29,2
2019-11-30,3
2019-12-01,4
2019-12-02,6
2019-12-03,9
2019-12-04,13
2019-12-05,19
2019-12-06,27
2019-12-07,37
2019-12-08,48
2019-12-09,64
2019-12-10,80
2019-12-11,99
2019-12-12,117
2019-12-13,149
2019-12-14,178
2019-12-15,220
2019-12-16,264
2019-12-17,317
2019-12-18,362
2019-12-19,424
2019-12-20,484
2019-12-21,567
2019-12-22,638
2019-12-23,705
2019-12-24,755
2019-12-25,814
2019-12-26,860
2019-12-27,918
2019-12-28,1014
2019-12-29,1139
2019-12-30,1322
2019-12-31,1498
2020-01-01,1687
2020-01-02,1928
2020-01-03,2152
2020-01-04,2364
2020-01-05,2606
2020-01-06,2778
2020-01-07,3006
2020-01-08,3308
2020-01-09,3774
2020-01-10,4280
2020-01-11,4835
2020-01-12,5645
2020-01-13,6469
2020-01-14,7507
2020-01-15,8741
2020-01-16,10098
2020-01-17,11682
2020-01-18,13442
2020-01-19,15410
2020-01-20,17424
2020-01-21,19422
2020-01-22,20936
2020-01-23,22667
2020-01-24,23759
2020-01-25,24632
2020-01-26,24865
2020-01-27,24674
2020-01-28,24732
2020-01-29,25296
2020-01-30,25105
2020-01-31,25224
2020-02-01,25362
2020-02-02,26182
2020-02-03,27751
2020-02-04,30976
2020-02-05,36470
2020-02-06,42902
2020-02-07,50425
2020-02-08,57874
2020-02-09,66778
2020-02-10,75807
2020-02-11,87143
