param1,param2,param3,lik
0.001,0.5,0.1,-237.6740979500625
0.001,0.5,0.15000000000000002,-183.67623290251822
0.001,0.5,0.2,-180.24835100889447
0.001,0.5,0.25,-177.55344958093337
0.001,0.5,0.30000000000000004,-176.30497735803567
0.001,0.5,0.35,-172.69953631481553
0.001,0.5,0.4,-171.7177586427037
0.001,0.5,0.45000000000000007,-171.83764032865673
0.001,0.5,0.5,-171.6856715069988
0.001,0.5,0.55,-169.83576046031726
0.001,0.5,0.6,-170.64647631092316
0.001,0.55,0.1,-189.4806414214578
0.001,0.55,0.15000000000000002,-183.0870801866987
0.001,0.55,0.2,-178.88335049217437
0.001,0.55,0.25,-175.84336824420194
0.001,0.55,0.30000000000000004,-174.8542153427976
0.001,0.55,0.35,-171.9112803605713
0.001,0.55,0.4,-172.37311436439984
0.001,0.55,0.45000000000000007,-171.19817466970625
0.001,0.55,0.5,-170.4874802604291
0.001,0.55,0.55,-170.40622063691745
0.001,0.55,0.6,-169.9131309198754
0.001,0.6,0.1,-192.10094840494105
0.001,0.6,0.15000000000000002,-179.75837600867453
0.001,0.6,0.2,-178.10161173259291
0.001,0.6,0.25,-173.38726790923175
0.001,0.6,0.30000000000000004,-172.86986831664683
0.001,0.6,0.35,-171.01440389465893
0.001,0.6,0.4,-171.02598232908338
0.001,0.6,0.45000000000000007,-170.5974245870077
0.001,0.6,0.5,-170.78152903124374
0.001,0.6,0.55,-170.55879461020533
0.001,0.6,0.6,-171.90000449509876
0.001,0.65,0.1,-190.50213954204156
0.001,0.65,0.15000000000000002,-184.16283808856394
0.001,0.65,0.2,-176.84064567978282
0.001,0.65,0.25,-173.5859035134594
0.001,0.65,0.30000000000000004,-173.56877044920913
0.001,0.65,0.35,-171.88135502346807
0.001,0.65,0.4,-170.98003583178308
0.001,0.65,0.45000000000000007,-172.01311055817268
0.001,0.65,0.5,-171.18236693351184
0.001,0.65,0.55,-171.11272139428348
0.001,0.65,0.6,-170.94412006513937
0.001,0.7,0.1,-189.82598391292868
0.001,0.7,0.15000000000000002,-182.33216120679873
0.001,0.7,0.2,-177.25724316121278
0.001,0.7,0.25,-172.93953886506574
0.001,0.7,0.30000000000000004,-173.24232231458456
0.001,0.7,0.35,-170.14727129845664
0.001,0.7,0.4,-170.81743725680195
0.001,0.7,0.45000000000000007,-171.37231054263805
0.001,0.7,0.5,-170.5693578111713
0.001,0.7,0.55,-172.36384329879388
0.001,0.7,0.6,-170.3404696258766
0.001,0.75,0.1,-198.5694801095861
0.001,0.75,0.15000000000000002,-182.61993946137846
0.001,0.75,0.2,-177.2738691621509
0.001,0.75,0.25,-174.6096616311769
0.001,0.75,0.30000000000000004,-173.0968136150106
0.001,0.75,0.35,-175.16133786671156
0.001,0.75,0.4,-171.51675278486232
0.001,0.75,0.45000000000000007,-170.73941301934485
0.001,0.75,0.5,-172.02068452403734
0.001,0.75,0.55,-171.41644711558615
0.001,0.75,0.6,-170.59311012146327
0.001,0.8,0.1,-191.93448859940855
0.001,0.8,0.15000000000000002,-183.34395175316774
0.001,0.8,0.2,-176.42605792854334
0.001,0.8,0.25,-172.25449671249612
0.001,0.8,0.30000000000000004,-173.15464396915837
0.001,0.8,0.35,-171.87040501060306
0.001,0.8,0.4,-170.7111523956973
0.001,0.8,0.45000000000000007,-170.88538135734387
0.001,0.8,0.5,-170.12595274367789
0.001,0.8,0.55,-170.54430506556514
0.001,0.8,0.6,-169.7066169677259
0.001,0.8500000000000001,0.1,-190.93242977705745
0.001,0.8500000000000001,0.15000000000000002,-181.44943726440675
0.001,0.8500000000000001,0.2,-176.3928135599134
0.001,0.8500000000000001,0.25,-172.8639064533255
0.001,0.8500000000000001,0.30000000000000004,-171.46482959797805
0.001,0.8500000000000001,0.35,-171.3010293238894
0.001,0.8500000000000001,0.4,-171.6156006188038
0.001,0.8500000000000001,0.45000000000000007,-171.46171207745812
0.001,0.8500000000000001,0.5,-170.46222515376934
0.001,0.8500000000000001,0.55,-170.15256341883253
0.001,0.8500000000000001,0.6,-169.9174402648385
0.001,0.9,0.1,-182.09494118921566
0.001,0.9,0.15000000000000002,-180.28716453976847
0.001,0.9,0.2,-175.19417163525583
0.001,0.9,0.25,-171.21085114326252
0.001,0.9,0.30000000000000004,-171.1729055690729
0.001,0.9,0.35,-172.26539496590487
0.001,0.9,0.4,-169.18729657740437
0.001,0.9,0.45000000000000007,-169.2757460901966
0.001,0.9,0.5,-169.3446412255375
0.001,0.9,0.55,-169.646328946881
0.001,0.9,0.6,-169.97745748482328
0.001,0.95,0.1,-195.55136205687012
0.001,0.95,0.15000000000000002,-177.9968590293575
0.001,0.95,0.2,-174.44076068515602
0.001,0.95,0.25,-173.8637103693992
0.001,0.95,0.30000000000000004,-172.28643556254855
0.001,0.95,0.35,-172.10324524704083
0.001,0.95,0.4,-170.48154432259832
0.001,0.95,0.45000000000000007,-169.25147387632057
0.001,0.95,0.5,-170.6952003265547
0.001,0.95,0.55,-170.76695783878245
0.001,0.95,0.6,-171.22745471843018
0.001,1,0.1,-234.05012509331368
0.001,1,0.15000000000000002,-179.69927362191459
0.001,1,0.2,-173.69916010206424
0.001,1,0.25,-172.20674778759837
0.001,1,0.30000000000000004,-171.77038436647678
0.001,1,0.35,-170.3625415543462
0.001,1,0.4,-170.96345908198862
0.001,1,0.45000000000000007,-170.46310755503112
0.001,1,0.5,-168.84654397150348
0.001,1,0.55,-169.89296112069945
0.001,1,0.6,-169.5641204634913
0.002,0.5,0.1,-168.3663780623666
0.002,0.5,0.15000000000000002,-157.81713388255173
0.002,0.5,0.2,-153.55071179438767
0.002,0.5,0.25,-152.51557592035903
0.002,0.5,0.30000000000000004,-149.31782762399723
0.002,0.5,0.35,-148.59288164448475
0.002,0.5,0.4,-147.5980059449248
0.002,0.5,0.45000000000000007,-147.29266187620402
0.002,0.5,0.5,-147.28765537131216
0.002,0.5,0.55,-148.7655376058359
0.002,0.5,0.6,-146.638393318642
0.002,0.55,0.1,-170.50366557895376
0.002,0.55,0.15000000000000002,-158.05191958699078
0.002,0.55,0.2,-152.3321591350081
0.002,0.55,0.25,-149.32400584979445
0.002,0.55,0.30000000000000004,-148.81694529149252
0.002,0.55,0.35,-148.06144241403825
0.002,0.55,0.4,-146.95385849733646
0.002,0.55,0.45000000000000007,-147.9705234929623
0.002,0.55,0.5,-148.69802203445937
0.002,0.55,0.55,-147.43531800548476
0.002,0.55,0.6,-147.89975891961205
0.002,0.6,0.1,-170.03516144791462
0.002,0.6,0.15000000000000002,-153.42876826541533
0.002,0.6,0.2,-150.97895252362144
0.002,0.6,0.25,-148.84166985730315
0.002,0.6,0.30000000000000004,-149.25197429513048
0.002,0.6,0.35,-147.55899798240273
0.002,0.6,0.4,-148.4011636112773
0.002,0.6,0.45000000000000007,-148.44276529677785
0.002,0.6,0.5,-146.69260910365676
0.002,0.6,0.55,-148.40178025612477
0.002,0.6,0.6,-146.07827644628077
0.002,0.65,0.1,-170.72968743344632
0.002,0.65,0.15000000000000002,-154.1675455288012
0.002,0.65,0.2,-150.90977026911003
0.002,0.65,0.25,-150.1792773015173
0.002,0.65,0.30000000000000004,-147.5491086565458
0.002,0.65,0.35,-147.96754449793167
0.002,0.65,0.4,-147.81197348498802
0.002,0.65,0.45000000000000007,-146.6893890276698
0.002,0.65,0.5,-147.5344870410168
0.002,0.65,0.55,-146.22191617092994
0.002,0.65,0.6,-146.86901901947277
0.002,0.7,0.1,-155.15976207869744
0.002,0.7,0.15000000000000002,-154.26957445673014
0.002,0.7,0.2,-149.93417244570753
0.002,0.7,0.25,-147.30673756526363
0.002,0.7,0.30000000000000004,-147.61416563363616
0.002,0.7,0.35,-147.5506960023942
0.002,0.7,0.4,-146.37315667052036
0.002,0.7,0.45000000000000007,-146.82031924632673
0.002,0.7,0.5,-146.81519805418753
0.002,0.7,0.55,-146.6875051383796
0.002,0.7,0.6,-145.80734336812083
0.002,0.75,0.1,-163.90620296670664
0.002,0.75,0.15000000000000002,-155.32082610101094
0.002,0.75,0.2,-146.88645180321345
0.002,0.75,0.25,-148.8109591947479
0.002,0.75,0.30000000000000004,-148.22993068068342
0.002,0.75,0.35,-147.13254423938497
0.002,0.75,0.4,-146.67437829597134
0.002,0.75,0.45000000000000007,-146.6066613596547
0.002,0.75,0.5,-145.6632119919808
0.002,0.75,0.55,-148.2365153096108
0.002,0.75,0.6,-146.5669584776038
0.002,0.8,0.1,-162.67509154597673
0.002,0.8,0.15000000000000002,-151.79286277886018
0.002,0.8,0.2,-149.28788717146796
0.002,0.8,0.25,-146.5411565427719
0.002,0.8,0.30000000000000004,-147.63857871792283
0.002,0.8,0.35,-146.12891325098656
0.002,0.8,0.4,-147.224552157311
0.002,0.8,0.45000000000000007,-146.73972493458461
0.002,0.8,0.5,-146.78438525643026
0.002,0.8,0.55,-146.75520381896473
0.002,0.8,0.6,-147.90901655723292
0.002,0.8500000000000001,0.1,-160.34190383014715
0.002,0.8500000000000001,0.15000000000000002,-153.7109204919251
0.002,0.8500000000000001,0.2,-148.58673988148183
0.002,0.8500000000000001,0.25,-147.08099187118017
0.002,0.8500000000000001,0.30000000000000004,-147.20712554317004
0.002,0.8500000000000001,0.35,-146.89017296996963
0.002,0.8500000000000001,0.4,-145.98037032495688
0.002,0.8500000000000001,0.45000000000000007,-146.87105444915574
0.002,0.8500000000000001,0.5,-147.3521290444997
0.002,0.8500000000000001,0.55,-147.02299127787904
0.002,0.8500000000000001,0.6,-146.84092040965396
0.002,0.9,0.1,-160.56055364056078
0.002,0.9,0.15000000000000002,-154.53973015341558
0.002,0.9,0.2,-148.13807805901308
0.002,0.9,0.25,-148.08348938236037
0.002,0.9,0.30000000000000004,-147.06570200796546
0.002,0.9,0.35,-145.52903529517187
0.002,0.9,0.4,-146.27027519793728
0.002,0.9,0.45000000000000007,-145.94692696752202
0.002,0.9,0.5,-145.6104730648825
0.002,0.9,0.55,-147.37935079818874
0.002,0.9,0.6,-146.3688923161218
0.002,0.95,0.1,-161.42352135897784
0.002,0.95,0.15000000000000002,-152.50314347650868
